"customer_state","dias_entrega_promedio_estado","total_ordenes_estado"
"AP","28.2222","67"
"RR","28.1739","41"
"AM","26.3374","145"
"AL","24.4473","397"
"PA","23.7021","946"
"MA","21.5900","717"
"SE","21.4187","335"
"CE","20.9215","1279"
"AC","20.6813","80"
"PB","20.5461","517"
"RO","19.6557","243"
"PI","19.3174","476"
"RN","19.2726","474"
"BA","19.1925","3256"
"PE","18.2245","1593"
"MT","17.9074","886"
"TO","17.3968","274"
"ES","15.5874","1995"
"MS","15.4599","701"
"GO","15.3355","1957"
"RS","15.1345","5344"
"RJ","15.0742","12350"
"SC","14.9463","3546"
"DF","12.8938","2080"
"MG","11.9193","11354"
"PR","11.8931","4923"
"SP","8.6623","40494"
