"seller_id","total_ordenes","calificacion_promedio"
"""1ca7077d890b907f89be8c954a02686a""","114","2.53"
"""2eb70248d66e0e3ef83659f71b244378""","188","2.91"
"""88460e8ebdecbfecb5f9601833981930""","246","3.23"
"b2479f944e1b90cf8a5de1bbfde284d6","102","3.33"
"""44073f8b7e41514de3b7815dd0237f4f""","143","3.35"
"""7c67e1448b00f6e969d365cea6b010ab""","980","3.35"
"""710e3548e02bc1d2831dfc4f1b5b14d4""","132","3.38"
"""25c5c91f63607446a97b143d2d535d31""","156","3.44"
"""897060da8b9a21f655304d50fd935913""","309","3.45"
"""1835b56ce799e6a4dc4eddc053f04066""","422","3.54"
"""36a968b544695394e4e9d7572688598f""","149","3.54"
"""213b25e6f54661939f11710a6fddb871""","155","3.60"
"e5a38146df062edaf55c38afa99e42dc","121","3.61"
"""2e90cb1677d35cfe24eef47d441b7c87""","127","3.62"
"""18a349e75d307f4b4cc646a691ed4216""","109","3.63"
"a673821011d0cec28146ea42f5ab767f","125","3.63"
"""431af27f296bc6519d890aa5a05fdb11""","117","3.66"
"""855668e0971d4dfd7bef1b6a4133b41b""","308","3.73"
"c33847515fa6305ce6feb1e818569f13","114","3.73"
"d2374cbcbb3ca4ab1086534108cc3ab7","522","3.73"
"""5656537e588803a555b8eb41f07a944b""","173","3.75"
"""70a12e78e608ac31179aea7f8422044b""","314","3.75"
"cfb1a033743668a192316f3c6d1d2671","144","3.75"
"""9c0e69c7bf2619675bbadf47b43f655a""","155","3.76"
"""8160255418d5aaa7dbdc9f4c64ebda44""","385","3.77"
"""92eb0f42c21942b6552362b9b114707d""","340","3.78"
"""4a3ca9315b744ce9f8e9374361493884""","1803","3.79"
"""634964b17796e64304cadf1ad3050fb7""","267","3.79"
"""229c3efbfb0ea2058de4ccdfbc3d784a""","121","3.80"
"""1900267e848ceeba8fa32d80c1a5f5a8""","410","3.83"
"""1b4c3a6f53068f0b6944d2d005c9fc89""","113","3.83"
"""8b28d096634035667e8263d57ba3368c""","142","3.83"
"cca3071e3e9bb7d12640c9fbe2301306","708","3.83"
"""7ad32824caee82087b3e2e5f33b1bf32""","151","3.85"
"e9d99831abad74458942f21e16f33f92","130","3.85"
"""7ddcbb64b5bc1ef36ca8c151f6ec77df""","331","3.86"
"""3c7c4a49ec3c6550809089c6a2ca9370""","141","3.87"
"c3867b4666c7d76867627c2f7fb22e21","230","3.87"
"ef506c96320abeedfb894c34db06f478","322","3.87"
"""0be8ff43f22e456b4e0371b2245e4d01""","158","3.89"
"e5a3438891c0bfdb9394643f95273d8e","223","3.89"
"f80edd2c5aaa505cc4b0a3b219abf4b8","117","3.89"
"f457c46070d02cadd8a68551231220dd","196","3.90"
"""522620dcb18a6b31cd7bdf73665113a9""","174","3.91"
"""8e6cc767478edae941d9bd9eb778d77a""","104","3.91"
"""00fc707aaaad2d31347cf883cd2dfe10""","103","3.92"
"""6560211a19b47992c3666cc44a7e94c0""","1844","3.92"
"""8a32e327fe2c1b3511609d81aaf9f042""","128","3.92"
"dd7ddc04e1b6c2c614352b383efe2d36","122","3.93"
"""2138ccb85b11a4ec1e37afbd1c8eda1f""","393","3.94"
