"mes","total_ingresos","total_ordenes"
"2016-09","279.69","2"
"2016-10","47659.68","272"
"2016-12","19.62","1"
"2017-01","130446.82","766"
"2017-02","275501.87","1674"
"2017-03","418939.83","2591"
"2017-04","397279.33","2352"
"2017-05","575891.09","3601"
"2017-06","495893.28","3182"
"2017-07","574937.15","3928"
"2017-08","652251.06","4234"
"2017-09","708528.90","4188"
"2017-10","757534.45","4511"
"2017-11","1161986.43","7361"
"2017-12","850581.15","5570"
"2018-01","1089740.52","7143"
"2018-02","977836.04","6612"
"2018-03","1141218.90","7136"
"2018-04","1152744.60","6897"
"2018-05","1137610.15","6803"
"2018-06","1019955.14","6142"
"2018-07","1035990.67","6219"
"2018-08","993910.26","6398"
"2018-09","166.46","1"
